ε;σ;σ_MPa;Action;Vlaga;Type;Class;Color;Text
0.004;24300;24.3;CL;1;1;55;3;
0.0056;24300;24.3;CL;1;1;55;3;
-0.00015;-2600;-2.6;N;1;1;55;2;
-0.0001;-2600;-2.6;N;1;1;55;2;
-0.00004;-1560;-1.56;N;1;1;55;2;
0;0;0;N;1;1;55;4;
0.000608;23700;23.7;N;1;1;55;4;
0.002;39500;39.5;N;1;1;55;4;
0.0035;39500;39.5;N;1;1;55;4;
-0.00036;-2600;-2.6;NL;1;1;55;2;
-0.00028;-2600;-2.6;NL;1;1;55;2;
-0.000128;-1560;-1.56;NL;1;1;55;2;
0;0;0;NL;1;1;55;5;
0.001944615;23700;23.7;NL;1;1;55;5;
0.004;39500;39.5;NL;1;1;55;5;
0.0056;39500;39.5;NL;1;1;55;5;
-0.00015;-1530;-1.53;C;2;1;55;2;
-0.0001;-1530;-1.53;C;2;1;55;2;
-0.0000235;-918;-0.918;C;2;1;55;2;
0;0;0;C;2;1;55;1;
0.000415;16200;16.2;C;2;1;55;1;
0.002;27000;27;C;2;1;55;1;
0.0035;27000;27;C;2;1;55;1;
-0.00031;-1380;-1.38;CL;2;1;55;2;
-0.00024;-1380;-1.38;CL;2;1;55;2;
-0.000053;-826;-0.826;CL;2;1;55;2;
0;0;0;CL;2;1;55;3;
0.000935;14580;14.6;CL;2;1;55;3;
0.0034;24300;24.3;CL;2;1;55;3;
0.0048;24300;24.3;CL;2;1;55;3;
-0.00015;-2600;-2.6;N;2;1;55;2;
-0.0001;-2600;-2.6;N;2;1;55;2;
-0.00004;-1560;-1.56;N;2;1;55;2;
0;0;0;N;2;1;55;4;
0.000608;23700;23.7;N;2;1;55;4;
0.002;39500;39.5;N;2;1;55;4;
0.0035;39500;39.5;N;2;1;55;4;
-0.00031;-2600;-2.6;NL;2;1;55;2;
-0.00024;-2600;-2.6;NL;2;1;55;2;
-0.0001;-1560;-1.56;NL;2;1;55;2;
0;0;0;NL;2;1;55;5;
0.001519231;23700;23.7;NL;2;1;55;5;
0.0034;39500;39.5;NL;2;1;55;5;
0.0048;39500;39.5;NL;2;1;55;5;
-0.00015;-1530;-1.53;C;3;1;55;2;
-0.0001;-1530;-1.53;C;3;1;55;2;
-0.0000235;-918;-0.918;C;3;1;55;2;
0;0;0;C;3;1;55;1;
0.000415;16200;16.2;C;3;1;55;1;
0.002;27000;27;C;3;1;55;1;
0.0035;27000;27;C;3;1;55;1;
-0.00027;-1377;-1.38;CL;3;1;55;2;
-0.00021;-1377;-1.38;CL;3;1;55;2;
-0.0000445;-826.2;-0.826;CL;3;1;55;2;
0;0;0;CL;3;1;55;3;
0.000785;14580;14.6;CL;3;1;55;3;
0.003;24300;24.3;CL;3;1;55;3;
0.0042;24300;24.3;CL;3;1;55;3;
-0.00015;-2600;-2.6;N;3;1;55;2;
-0.0001;-2600;-2.6;N;3;1;55;2;
-0.00004;-1560;-1.56;N;3;1;55;2;
0;0;0;N;3;1;55;4;
0.000608;23700;23.7;N;3;1;55;4;
0.002;39500;39.5;N;3;1;55;4;
0.0035;39500;39.5;N;3;1;55;4;
-0.00027;-2600;-2.6;NL;3;1;55;2;
-0.00021;-2600;-2.6;NL;3;1;55;2;
-0.000084;-1560;-1.56;NL;3;1;55;2;
0;0;0;NL;3;1;55;5;
0.00128;23700;23.7;NL;3;1;55;5;
0.003;39500;39.5;NL;3;1;55;5;
0.0042;39500;39.5;NL;3;1;55;5;
-0.00015;-1530;-1.53;C;1;2;55;2;
-0.00008;-1530;-1.53;C;1;2;55;2;
0;0;0;C;1;2;55;1;
0.0015;27000;27;C;1;2;55;1;
0.0035;27000;27;C;1;2;55;1;
-0.00036;-1377;-1.38;CL;1;2;55;2;
-0.00026;-1377;-1.38;CL;1;2;55;2;
0;0;0;CL;1;2;55;3;
0.0034;24300;24.3;CL;1;2;55;3;
0.0056;24300;24.3;CL;1;2;55;3;
-0.00015;-2600;-2.6;N;1;2;55;2;
-0.00008;-2600;-2.6;N;1;2;55;2;
0;0;0;N;1;2;55;4;
0.0015;39500;39.5;N;1;2;55;4;
0.0035;39500;39.5;N;1;2;55;4;
-0.00036;-2600;-2.6;NL;1;2;55;2;
-0.00026;-2600;-2.6;NL;1;2;55;2;
0;0;0;NL;1;2;55;5;
0.0034;39500;39.5;NL;1;2;55;5;
0.0056;39500;39.5;NL;1;2;55;5;
-0.00015;-1530;-1.53;C;2;2;55;2;
-0.00008;-1530;-1.53;C;2;2;55;2;
0;0;0;C;2;2;55;1;
0.0015;27000;27;C;2;2;55;1;
0.0035;27000;27;C;2;2;55;1;
-0.00031;-1377;-1.38;CL;2;2;55;2;
-0.00022;-1377;-1.38;CL;2;2;55;2;
0;0;0;CL;2;2;55;3;
0.0028;24300;24.3;CL;2;2;55;3;
0.0048;24300;24.3;CL;2;2;55;3;
-0.00015;-2600;-2.6;N;2;2;55;2;
-0.00008;-2600;-2.6;N;2;2;55;2;
0;0;0;N;2;2;55;4;
0.0015;39500;39.5;N;2;2;55;4;
0.0035;39500;39.5;N;2;2;55;4;
-0.00031;-2600;-2.6;NL;2;2;55;2;
-0.00022;-2600;-2.6;NL;2;2;55;2;
0;0;0;NL;2;2;55;5;
0.0028;39500;39.5;NL;2;2;55;5;
0.0048;39500;39.5;NL;2;2;55;5;
-0.00015;-1530;-1.53;C;3;2;55;2;
-0.00008;-1530;-1.53;C;3;2;55;2;
0;0;0;C;3;2;55;1;
0.0015;27000;27;C;3;2;55;1;
0.0035;27000;27;C;3;2;55;1;
-0.00027;-1377;-1.38;CL;3;2;55;2;
-0.00019;-1377;-1.38;CL;3;2;55;2;
0;0;0;CL;3;2;55;3;
0.0024;24300;24.3;CL;3;2;55;3;
0.0042;24300;24.3;CL;3;2;55;3;
-0.00015;-2600;-2.6;N;3;2;55;2;
-0.00008;-2600;-2.6;N;3;2;55;2;
0;0;0;N;3;2;55;4;
0.0015;39500;39.5;N;3;2;55;4;
0.0035;39500;39.5;N;3;2;55;4;
-0.00027;-2600;-2.6;NL;3;2;55;2;
-0.00019;-2600;-2.6;NL;3;2;55;2;
0;0;0;NL;3;2;55;5;
0.0024;39500;39.5;NL;3;2;55;5;
0.0042;39500;39.5;NL;3;2;55;5;
-0.00015;-1620;-1.62;C;1;1;60;2;
-0.0001;-1620;-1.62;C;1;1;60;2;
-0.0000246;-972;-0.972;C;1;1;60;2;
0;0;0;C;1;1;60;1;
0.000451;17800;17.8;C;1;1;60;1;
0.002;29700;29.7;C;1;1;60;1;
0.0035;29700;29.7;C;1;1;60;1;
-0.00036;-1460;-1.46;CL;1;1;60;2;
-0.00028;-1460;-1.46;CL;1;1;60;2;
-0.0000664;-875;-0.875;CL;1;1;60;2;
0;0;0;CL;1;1;60;3;
0.00122;16000;16;CL;1;1;60;3;
0.004;26730;26.7;CL;1;1;60;3;
0.0056;26730;26.7;CL;1;1;60;3;
-0.00015;-2750;-2.75;N;1;1;60;2;
-0.0001;-2750;-2.75;N;1;1;60;2;
-0.0000418;-1650;-1.65;N;1;1;60;2;
0;0;0;N;1;1;60;4;
0.000653;25800;25.8;N;1;1;60;4;
0.002;43000;43;N;1;1;60;4;
0.0035;43000;43;N;1;1;60;4;
-0.00036;-2750;-2.75;NL;1;1;60;2;
-0.00028;-2750;-2.75;NL;1;1;60;2;
-0.000125;-1650;-1.65;NL;1;1;60;2;
0;0;0;NL;1;1;60;5;
0.001959494;25800;25.8;NL;1;1;60;5;
0.004;43000;43;NL;1;1;60;5;
0.0056;43000;43;NL;1;1;60;5;
-0.00015;-1620;-1.62;C;2;1;60;2;
-0.0001;-1620;-1.62;C;2;1;60;2;
-0.0000246;-972;-0.972;C;2;1;60;2;
0;0;0;C;2;1;60;1;
0.000451;17800;17.8;C;2;1;60;1;
0.002;29700;29.7;C;2;1;60;1;
0.0035;29700;29.7;C;2;1;60;1;
-0.00031;-1460;-1.46;CL;2;1;60;2;
-0.00024;-1460;-1.46;CL;2;1;60;2;
-0.0000532;-875;-0.875;CL;2;1;60;2;
0;0;0;CL;2;1;60;3;
0.000974;16038;16;CL;2;1;60;3;
0.0034;26730;26.7;CL;2;1;60;3;
0.0048;26730;26.7;CL;2;1;60;3;
-0.00015;-2750;-2.75;N;2;1;60;2;
-0.0001;-2750;-2.75;N;2;1;60;2;
-0.0000418;-1650;-1.65;N;2;1;60;2;
0;0;0;N;2;1;60;4;
0.000653;25800;25.8;N;2;1;60;4;
0.002;43000;43;N;2;1;60;4;
0.0035;43000;43;N;2;1;60;4;
-0.00031;-2750;-2.75;NL;2;1;60;2;
-0.00024;-2750;-2.75;NL;2;1;60;2;
-0.0001;-1650;-1.65;NL;2;1;60;2;
0;0;0;NL;2;1;60;5;
0.001567595;25800;25.8;NL;2;1;60;5;
0.0034;43000;43;NL;2;1;60;5;
0.0048;43000;43;NL;2;1;60;5;
-0.00015;-1620;-1.62;C;3;1;60;2;
-0.0001;-1620;-1.62;C;3;1;60;2;
-0.0000246;-972;-0.972;C;3;1;60;2;
0;0;0;C;3;1;60;1;
0.000451;17820;17.8;C;3;1;60;1;
0.002;29700;29.7;C;3;1;60;1;
0.0035;29700;29.7;C;3;1;60;1;
-0.00027;-1458;-1.46;CL;3;1;60;2;
-0.00021;-1458;-1.46;CL;3;1;60;2;
-0.0000443;-874.8;-0.875;CL;3;1;60;2;
0;0;0;CL;3;1;60;3;
0.000812;16038;16;CL;3;1;60;3;
0.003;26730;26.7;CL;3;1;60;3;
0.0042;26730;26.7;CL;3;1;60;3;
-0.00015;-2750;-2.75;N;3;1;60;2;
-0.0001;-2750;-2.75;N;3;1;60;2;
-0.0000418;-1650;-1.65;N;3;1;60;2;
0;0;0;N;3;1;60;4;
0.000653;25800;25.8;N;3;1;60;4;
0.002;43000;43;N;3;1;60;4;
0.0035;43000;43;N;3;1;60;4;
-0.00027;-2750;-2.75;NL;3;1;60;2;
-0.00021;-2750;-2.75;NL;3;1;60;2;
-0.0000835;-1650;-1.65;NL;3;1;60;2;
0;0;0;NL;3;1;60;5;
0.00131;25800;25.8;NL;3;1;60;5;
0.003;43000;43;NL;3;1;60;5;
0.0042;43000;43;NL;3;1;60;5;
-0.00015;-1620;-1.62;C;1;2;60;2;
-0.00008;-1620;-1.62;C;1;2;60;2;
0;0;0;C;1;2;60;1;
0.0015;29700;29.7;C;1;2;60;1;
0.0035;29700;29.7;C;1;2;60;1;
-0.00036;-1458;-1.46;CL;1;2;60;2;
-0.00026;-1458;-1.46;CL;1;2;60;2;
0;0;0;CL;1;2;60;3;
0.0034;26730;26.7;CL;1;2;60;3;
0.0056;26730;26.7;CL;1;2;60;3;
-0.00015;-2750;-2.75;N;1;2;60;2;
-0.00008;-2750;-2.75;N;1;2;60;2;
0;0;0;N;1;2;60;4;
0.0015;43000;43;N;1;2;60;4;
0.0035;43000;43;N;1;2;60;4;
-0.00036;-2750;-2.75;NL;1;2;60;2;
-0.00026;-2750;-2.75;NL;1;2;60;2;
0;0;0;NL;1;2;60;5;
0.0034;43000;43;NL;1;2;60;5;
0.0056;43000;43;NL;1;2;60;5;
-0.00015;-1620;-1.62;C;2;2;60;2;
-0.00008;-1620;-1.62;C;2;2;60;2;
0;0;0;C;2;2;60;1;
0.0015;29700;29.7;C;2;2;60;1;
0.0035;29700;29.7;C;2;2;60;1;
-0.00031;-1458;-1.46;CL;2;2;60;2;
-0.00022;-1458;-1.46;CL;2;2;60;2;
0;0;0;CL;2;2;60;3;
0.0028;26730;26.7;CL;2;2;60;3;
0.0048;26730;26.7;CL;2;2;60;3;
-0.00015;-2750;-2.75;N;2;2;60;2;
-0.00008;-2750;-2.75;N;2;2;60;2;
0;0;0;N;2;2;60;4;
0.0015;43000;43;N;2;2;60;4;
0.0035;43000;43;N;2;2;60;4;
-0.00031;-2750;-2.75;NL;2;2;60;2;
-0.00022;-2750;-2.75;NL;2;2;60;2;
0;0;0;NL;2;2;60;5;
0.0028;43000;43;NL;2;2;60;5;
0.0048;43000;43;NL;2;2;60;5;
-0.00015;-1620;-1.62;C;3;2;60;2;
-0.00008;-1620;-1.62;C;3;2;60;2;
0;0;0;C;3;2;60;1;
0.0015;29700;29.7;C;3;2;60;1;
0.0035;29700;29.7;C;3;2;60;1;
-0.00027;-1458;-1.46;CL;3;2;60;2;
-0.00019;-1458;-1.46;CL;3;2;60;2;
0;0;0;CL;3;2;60;3;
0.0024;26730;26.7;CL;3;2;60;3;
0.0042;26730;26.7;CL;3;2;60;3;
-0.00015;-2750;-2.75;N;3;2;60;2;
-0.00008;-2750;-2.75;N;3;2;60;2;
0;0;0;N;3;2;60;4;
0.0015;43000;43;N;3;2;60;4;
0.0035;43000;43;N;3;2;60;4;
-0.00027;-2750;-2.75;NL;3;2;60;2;
-0.00019;-2750;-2.75;NL;3;2;60;2;
0;0;0;NL;3;2;60;5;
0.0024;43000;43;NL;3;2;60;5;
0.0042;43000;43;NL;3;2;60;5;
